date,state,deaths
2020-03-01,Florida,0
2020-03-02,Florida,0
2020-03-03,Florida,0
2020-03-04,Florida,0
2020-03-05,Florida,0
2020-03-06,Florida,2
2020-03-07,Florida,2
2020-03-08,Florida,2
2020-03-09,Florida,2
2020-03-10,Florida,2
2020-03-11,Florida,2
2020-03-12,Florida,2
2020-03-13,Florida,2
2020-03-14,Florida,3
2020-03-15,Florida,3
2020-03-16,Florida,4
2020-03-17,Florida,6
2020-03-18,Florida,7
2020-03-19,Florida,8
2020-03-20,Florida,9
2020-03-21,Florida,11
2020-03-22,Florida,13
2020-03-23,Florida,18
2020-03-24,Florida,20
2020-03-25,Florida,23
2020-03-26,Florida,29
2020-03-27,Florida,46
2020-03-28,Florida,56
2020-03-29,Florida,60
2020-03-30,Florida,72
2020-03-31,Florida,85
2020-04-01,Florida,100
2020-04-02,Florida,144
2020-04-03,Florida,169
2020-04-04,Florida,194
2020-04-05,Florida,220
2020-04-06,Florida,253
2020-04-07,Florida,295
2020-04-08,Florida,322
2020-04-09,Florida,370
2020-04-10,Florida,418
2020-04-11,Florida,445
2020-04-12,Florida,460
2020-04-13,Florida,498
2020-04-14,Florida,570
2020-04-15,Florida,613
2020-04-16,Florida,667
2020-04-17,Florida,725
2020-04-18,Florida,747
2020-04-19,Florida,773
2020-04-20,Florida,822
2020-04-21,Florida,866
2020-04-22,Florida,926
2020-04-23,Florida,986
2020-04-24,Florida,1045
2020-04-25,Florida,1054
2020-04-26,Florida,1073
2020-04-27,Florida,1087
2020-04-28,Florida,1170
2020-04-29,Florida,1216
2020-04-30,Florida,1267
2020-05-01,Florida,1313
2020-05-02,Florida,1363
2020-05-03,Florida,1378
2020-05-04,Florida,1398
2020-05-05,Florida,1470
2020-05-06,Florida,1538
2020-05-07,Florida,1599
2020-05-08,Florida,1668
2020-05-09,Florida,1714
2020-05-10,Florida,1720
2020-05-11,Florida,1734
2020-05-12,Florida,1778
2020-05-13,Florida,1826
2020-05-14,Florida,1874
2020-05-15,Florida,1916
2020-05-16,Florida,1963
2020-05-17,Florida,1972
2020-05-18,Florida,1996
2020-05-19,Florida,2051
2020-05-20,Florida,2095
2020-05-21,Florida,2143
2020-05-22,Florida,2189
2020-05-23,Florida,2232
2020-05-24,Florida,2236
2020-05-25,Florida,2251
2020-05-26,Florida,2258
2020-05-27,Florida,2318
2020-05-28,Florida,2363
2020-05-29,Florida,2412
2020-05-30,Florida,2446
2020-05-31,Florida,2450
2020-06-01,Florida,2459
2020-06-02,Florida,2529
2020-06-03,Florida,2565
2020-06-04,Florida,2606
2020-06-05,Florida,2659
2020-06-06,Florida,2687
2020-06-07,Florida,2699
2020-06-08,Florida,2711
2020-06-09,Florida,2764
2020-06-10,Florida,2800
2020-06-11,Florida,2847
2020-06-12,Florida,2876
2020-06-13,Florida,2924
2020-06-14,Florida,2930
2020-06-15,Florida,2937
2020-06-16,Florida,2992
2020-06-17,Florida,3017
2020-06-18,Florida,3060
